Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
161,161,VSS,VZZ_B_9,Bottom,Outside,1.405960526,48.31569655,1.46,-2.465,2.51,-3.4,89,
162,162,VDD,VDD_B_11,Bottom,Outside,2.49101432,47.59990354,1.54,-2.465,3.3795,-4.1447,90,
163,163,VSS,VSS_B_11,Bottom,Outside,1.482135284,50.88738943,1.62,-2.465,2.77,-3.4,91,
164,164,V33,V33_B_10,Bottom,Outside,3.556598852,49.51813637,1.7,-2.465,4.40519,-4.77397,92,
165,165,VSS,VZZ_B_10,Bottom,Outside,1.470527116,50.51869412,1.825,-2.465,2.96,-3.4,93,
166,166,VDD,VDD_B_12,Bottom,Outside,2.418418869,48.85058097,1.95,-2.465,3.77106,-4.05638,94,
167,167,VSS,VZZ_R_6,Right,Outside,1.369023375,46.92394098,2.465,-1.93,3.4,-2.93,95,
168,168,V33,V33_R_6,Right,Outside,3.409538193,46.7289454,2.465,-1.805,4.80207,-4.28755,96,
169,169,VSS,VSS_R_16,Right,Outside,1.428504463,49.11592666,2.465,-1.68,3.4,-2.76,97,
170,170,VDD,VDD_R_15,Right,Outside,2.520357057,49.01394501,2.465,-1.6,4.11804,-3.50254,98,
171,171,VSS,VSS_R_15,Right,Outside,1.376344797,47.20825477,2.465,-1.52,3.4,-2.53,99,
172,172,VDD,VDD_R_14,Right,Outside,2.42603787,44.57214834,2.465,-1.44,4.19323,-3.14261,100,
173,173,sdi_D_sclk_ex_i,sdi_D_sclk_ex_i,Right,Inside,4.454218077,48.72467453,2.369,-1.4,5.30735,-4.74756,100,
174,174,VSS,VZZ_R_5,Right,Outside,1.354483296,46.34612828,2.465,-1.36,3.4,-2.34,101,
175,175,sdi_D_tkn_ex_o,sdi_D_tkn_ex_o,Right,Inside,4.373679991,46.31845373,2.369,-1.32,5.38968,-4.483,101,
176,176,V33,V33_R_5,Right,Outside,3.408227049,43.25278813,2.465,-1.28,4.94734,-3.61538,102,
177,177,sdi_D_data_7_i,sdi_D_data_7_i,Right,Inside,4.296780761,43.8586415,2.369,-1.24,5.4672,-4.21716,102,
178,178,VSS,VSS_R_14,Right,Outside,1.250249975,41.5954817,2.465,-1.2,3.4,-2.03,103,
179,179,sdi_D_data_6_i,sdi_D_data_6_i,Right,Inside,4.223669499,41.34481579,2.369,-1.16,5.53991,-3.95011,103,
180,180,VDD,VDD_R_13,Right,Outside,2.325785556,37.96853916,2.465,-1.12,4.29853,-2.55089,104,
181,181,sdi_D_data_5_i,sdi_D_data_5_i,Right,Inside,4.154518177,38.77740708,2.369,-1.08,5.6078,-3.68196,104,
182,182,VSS,VSS_R_13,Right,Outside,1.156124993,36.02737339,2.465,-1.04,3.4,-1.72,105,
183,183,sdi_D_data_4_i,sdi_D_data_4_i,Right,Inside,4.08946243,36.15713255,2.369,-1,5.67084,-3.41279,105,
184,184,VDD,VDD_R_12,Right,Outside,2.233435836,32.06534337,2.465,-0.96,4.35771,-2.1457,106,
185,185,misc_R_7_i,misc_R_7_i,Right,Inside,4.028674675,33.48491516,2.369,-0.92,5.72904,-3.14269,106,
186,186,VSS,VSS_R_12,Right,Outside,1.079733763,30.00815701,2.465,-0.88,3.4,-1.42,107,
187,187,sdi_D_sclk_i,sdi_D_sclk_i,Right,Inside,3.972295363,30.76230049,2.369,-0.84,5.78238,-2.87174,107,
188,188,VDD,VDD_R_11,Right,Outside,2.16334946,26.28824782,2.465,-0.8,4.40461,-1.75812,108,
189,189,misc_R_6_i,misc_R_6_i,Right,Inside,3.920486895,27.99111018,2.369,-0.76,5.83087,-2.60002,108,
190,190,VSS,VZZ_R_4,Right,Outside,1.025,24.18951415,2.465,-0.72,3.4,-1.14,109,
191,191,sdi_D_token_o,sdi_D_token_o,Right,Inside,3.873402615,25.17426082,2.369,-0.68,5.8745,-2.32764,109,
192,192,V33,V33_R_4,Right,Outside,3.00985796,24.4634429,2.465,-0.64,5.20465,-1.88642,110,
193,193,misc_R_5_i,misc_R_5_i,Right,Inside,3.831172869,22.31451377,2.369,-0.6,5.91327,-2.05466,110,
194,194,VSS,VSS_R_11,Right,Outside,1.025,24.18951415,2.465,-0.56,3.4,-0.98,111,
195,195,sdi_D_ncmd_i,sdi_D_ncmd_i,Right,Inside,3.793922814,19.4156324,2.369,-0.52,5.94717,-1.78117,111,
196,196,VDD,VDD_R_10,Right,Outside,2.110551495,19.26469205,2.465,-0.48,4.45737,-1.17634,112,
197,197,sdi_D_data_3_i,sdi_D_data_3_i,Right,Inside,3.761789294,16.4816395,2.369,-0.44,5.97622,-1.50725,112,
198,198,VSS,VSS_R_10,Right,Outside,0.9789407541,17.23182176,2.465,-0.4,3.4,-0.69,113,
199,199,sdi_D_data_2_i,sdi_D_data_2_i,Right,Inside,3.73485977,13.51742291,2.369,-0.36,6.0004,-1.23299,113,
200,200,VDD,VDD_R_9,Right,Outside,2.067754597,12.8011956,2.465,-0.32,4.48136,-0.77815,114,
201,201,sdi_D_data_1_i,sdi_D_data_1_i,Right,Inside,3.713246147,10.52769349,2.369,-0.28,6.01974,-0.95845,114,
202,202,VSS,VSS_R_9,Right,Outside,0.9469556484,9.114175055,2.465,-0.24,3.4,-0.39,115,
203,203,sdi_D_data_0_i,sdi_D_data_0_i,Right,Inside,3.696993245,7.518376184,2.369,-0.2,6.03421,-0.68373,115,
204,204,VDD,VDD_R_8,Right,Outside,2.043249583,6.446593232,2.465,-0.16,4.49533,-0.38941,116,
205,205,misc_R_4_i,misc_R_4_i,Right,Inside,3.686177757,4.494945674,2.369,-0.12,6.04384,-0.40889,116,
206,206,VSS,VSS_R_8,Right,Outside,0.9369231559,3.671700098,2.465,-0.08,3.4,-0.14,117,
207,207,clk_2_i,clk_2_i,Right,Inside,3.680820982,1.463677581,2.369,-0.04,6.04862,-0.13402,117,
208,208,VDD,VDD_R_7,Right,Outside,2.035,0,2.465,0,4.5,0,118,
209,209,clk_1_i,clk_1_i,Right,Inside,3.680940702,1.569356936,2.369,0.04,6.04856,0.14081,118,
210,210,VSS,VZZ_R_3,Right,Outside,0.936335944,3.061029799,2.465,0.08,3.4,0.13,119,
211,211,misc_R_3_i,misc_R_3_i,Right,Inside,3.68653383,4.59787873,2.369,0.12,6.04367,0.41552,119,
212,212,V33,V33_R_3,Right,Outside,2.847007397,6.481560343,2.465,0.16,5.29381,0.48138,120,
213,213,sdi_C_data_0_i,sdi_C_data_0_i,Right,Inside,3.69755522,7.615706577,2.369,0.2,6.03394,0.69003,120,
214,214,VSS,VSS_R_7,Right,Outside,0.9521685775,10.89689076,2.465,0.24,3.4,0.42,121,
215,215,sdi_C_data_1_i,sdi_C_data_1_i,Right,Inside,3.713961936,10.61713444,2.369,0.28,6.01938,0.96428,121,
