Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
117,117,sdo_D_data_2_o,sdo_D_data_2_o,Bottom,Inside,4.90929074126296,26.2568479396601,0.84375,-1.3520205,3.0156,-5.75477,58,
118,118,VDD,VDD_B_9,Bottom,Outside,3.15789141291943,21.885238513735,0.88425,-1.4384205,2.06135,-4.36873,59,
119,119,sdo_D_data_3_o,sdo_D_data_3_o,Bottom,Inside,4.94447045053565,28.4198955196193,0.92475,-1.3520205,3.27797,-5.7006,59,
120,120,VSS,VSS_B_9,Bottom,Outside,2.06796801167722,18.4583464282063,0.96525,-1.4384205,1.62,-3.4,60,
121,121,sdo_D_data_4_o,sdo_D_data_4_o,Bottom,Inside,4.98220968272415,30.5667233897624,1.00575,-1.3520205,3.53941,-5.64189,60,
122,122,V33,V33_B_8,Bottom,Outside,4.10161458509576,27.8921326765169,1.04625,-1.4384205,2.96502,-5.06355,61,
123,123,sdo_D_data_5_o,sdo_D_data_5_o,Bottom,Inside,5.02247730406821,32.6968177099936,1.08675,-1.3520205,3.79986,-5.57864,61,
124,124,VSS,VZZ_B_8,Bottom,Outside,2.11948146897307,22.2561709161496,1.12725,-1.4384205,1.93,-3.4,62,
125,125,sdo_D_data_6_o,sdo_D_data_6_o,Bottom,Inside,5.06525112221894,34.8092638382312,1.16775,-1.3520205,4.05923,-5.51088,62,
126,126,VDD,VDD_B_10,Bottom,Outside,3.25151685555069,30.1696699791603,1.20825,-1.4384205,2.84234,-4.24949,63,
127,127,sdo_D_data_7_o,sdo_D_data_7_o,Bottom,Inside,5.1104864795448,36.9035128302804,1.24875,-1.3520205,4.31744,-5.43861,63,
128,128,VSS,VSS_B_10,Bottom,Outside,2.18422404924958,26.0948674274325,1.28925,-1.4384205,2.25,-3.4,64,
129,129,VDD,VDD_R_14,Right,Outside,3.32778329235698,34.1244330079466,1.4384205,-1.27575,4.19323,-3.14261,65,
130,130,sdi_D_data_7_io,sdi_D_data_7_io,Right,Inside,5.08197693474894,35.9275517775414,1.3520205,-1.23525,5.4672,-4.21716,65,
131,131,VSS,VSS_R_14,Right,Outside,2.13200297779348,23.0645384912553,1.4384205,-1.19475,3.4,-2.03,66,
132,132,sdi_D_data_6_io,sdi_D_data_6_io,Right,Inside,5.03539984547506,33.7273097694498,1.3520205,-1.15425,5.53991,-3.95011,66,
133,133,VDD,VDD_R_13,Right,Outside,3.20087452606163,26.6784881002153,1.4384205,-1.11375,4.29853,-2.55089,67,
